Station.Name,Station.Id,State.Code,State.Name,Network.Code,Network.Name,Elevation,Latitude,Longitude,County.Name,County.Code,Start.Date,End.Date,PMW_Longitude,PMW_Latitude,distance,PMW_lat_lon
Aneroid Lake #2,302,OR,OREGON,SNTL,SNOTEL,7400,45.21328,-117.19258,Wallowa,63,10/1/1980,1/1/2100,-117.16779,45.19611,0.03015548,45.19611_-117.16779
Atlanta Summit,306,ID,IDAHO,SNTL,SNOTEL,7580,43.7569,-115.23907,Elmore,39,10/1/1978,1/1/2100,-115.25887,43.76025,0.020081397,43.76025_-115.25887
Banner Summit,312,ID,IDAHO,SNTL,SNOTEL,7040,44.30342,-115.23447,Boise,15,10/1/1979,1/1/2100,-115.25887,44.29205,0.026919081,44.29205_-115.25887
Bear Basin,319,ID,IDAHO,SNTL,SNOTEL,5350,44.95222,-116.14293,Adams,3,10/1/1979,1/1/2100,-116.11459,44.93021,0.035883084,44.93021_-116.11459
Beaver Pass,990,WA,WASHINGTON,SNTL,SNOTEL,3630,48.8793,-121.2555,Whatcom,73,10/1/2000,1/1/2100,-121.24893,48.86555,0.015239009,48.86555_-121.24893
Big Creek Summit,338,ID,IDAHO,SNTL,SNOTEL,6560,44.62621,-115.79561,Valley,85,10/1/1979,1/1/2100,-115.78546,44.61113,0.018177703,44.61113_-115.78546
Big Red Mountain,341,OR,OREGON,SNTL,SNOTEL,6050,42.05257,-122.85487,Jackson,29,10/1/1979,1/1/2100,-122.82872,42.05848,0.026809524,42.05848_-122.82872
Blazed Alder,351,OR,OREGON,SNTL,SNOTEL,3650,45.4287,-121.85605,Clackamas,5,10/1/1979,1/1/2100,-121.84135,45.40883,0.024716531,45.40883_-121.84135
Blewett Pass,352,WA,WASHINGTON,SNTL,SNOTEL,4240,47.35037,-120.6796,Chelan,7,10/1/1979,1/1/2100,-120.6565,47.3765,0.034876739,47.3765_-120.6565
Blue Mountain Spring,357,OR,OREGON,SNTL,SNOTEL,5870,44.24767,-118.51722,Grant,23,10/1/1978,1/1/2100,-118.55011,44.23887,0.03404691,44.23887_-118.55011
Bogus Basin,978,ID,IDAHO,SNTL,SNOTEL,6340,43.76377,-116.09685,Boise,15,9/21/1999,1/1/2100,-116.11459,43.76025,0.018085851,43.76025_-116.11459
Burnt Mountain,942,WA,WASHINGTON,SNTL,SNOTEL,4170,47.0444,-121.94032,Pierce,53,7/1/1999,1/1/2100,-121.973,47.05742,0.035178158,47.05742_-121.973
Cascade Summit,388,OR,OREGON,SNTL,SNOTEL,5100,43.59042,-122.0601,Deschutes,17,10/1/1979,1/1/2100,-122.03882,43.60071,0.023637312,43.60071_-122.03882
Cool Creek,411,ID,IDAHO,SNTL,SNOTEL,6280,46.76361,-115.29528,Clearwater,35,10/1/1983,1/1/2100,-115.32469,46.73834,0.038775263,46.73834_-115.32469
Cougar Mountain,420,WA,WASHINGTON,SNTL,SNOTEL,3200,47.27666,-121.67138,King,33,10/1/1979,1/1/2100,-121.64387,47.27014,0.02827208,47.27014_-121.64387
County Line,422,OR,OREGON,SNTL,SNOTEL,4830,45.19107,-118.55015,Umatilla,59,10/1/1979,1/1/2100,-118.55011,45.19611,0.005040159,45.19611_-118.55011
Crater Meadows,425,ID,IDAHO,SNTL,SNOTEL,5960,46.56394,-115.28903,Clearwater,35,10/1/1983,1/1/2100,-115.25887,46.5788,0.033622094,46.5788_-115.25887
Deadwood Summit,439,ID,IDAHO,SNTL,SNOTEL,6860,44.54514,-115.5638,Valley,85,10/1/1978,1/1/2100,-115.58799,44.55795,0.027372472,44.55795_-115.58799
Dollarhide Summit,450,ID,IDAHO,SNTL,SNOTEL,8420,43.6025,-114.67417,Blaine,13,10/1/1979,1/1/2100,-114.66644,43.60071,0.007934545,43.60071_-114.66644
Dungeness,943,WA,WASHINGTON,SNTL,SNOTEL,4010,47.87224,-123.0788,Clallam,9,10/1/1998,1/1/2100,-123.09202,47.85512,0.021630136,47.85512_-123.09202
Elbow Lake,910,WA,WASHINGTON,SNTL,SNOTEL,3040,48.69092,-121.90893,Whatcom,73,8/24/1995,1/1/2100,-121.90717,48.70601,0.015192291,48.70601_-121.90717
Elk Butte,466,ID,IDAHO,SNTL,SNOTEL,5690,46.83998,-116.12233,Clearwater,35,10/1/1982,1/1/2100,-116.11459,46.8447,0.009065649,46.8447_-116.11459
Emigrant Springs,470,OR,OREGON,SNTL,SNOTEL,3800,45.55808,-118.45383,Umatilla,59,10/1/1979,1/1/2100,-118.48428,45.56837,0.032141665,45.56837_-118.48428
Fish Creek,477,OR,OREGON,SNTL,SNOTEL,7660,42.70992,-118.6321,Harney,25,10/1/1978,1/1/2100,-118.61593,42.69664,0.020924323,42.69664_-118.61593
Fish Lake,478,WA,WASHINGTON,SNTL,SNOTEL,3430,47.53565,-121.08553,Kittitas,37,10/1/1979,1/1/2100,-121.11728,47.53604,0.031752395,47.53604_-121.11728
Galena Summit,490,ID,IDAHO,SNTL,SNOTEL,8780,43.87497,-114.71363,Blaine,13,10/1/1978,1/1/2100,-114.73227,43.86661,0.020428882,43.86661_-114.73227
Graham Guard Sta.,496,ID,IDAHO,SNTL,SNOTEL,5690,43.9538,-115.27387,Elmore,39,10/1/1978,1/1/2100,-115.25887,43.97297,0.024341095,43.97297_-115.25887
Green Lake,502,WA,WASHINGTON,SNTL,SNOTEL,5920,46.54741,-121.17093,Yakima,77,10/1/1981,1/1/2100,-121.1831,46.52562,0.024958225,46.52562_-121.1831
Harts Pass,515,WA,WASHINGTON,SNTL,SNOTEL,6490,48.72047,-120.6586,Okanogan,47,10/1/1979,1/1/2100,-120.6565,48.70601,0.014611694,48.70601_-120.6565
Hemlock Butte,520,ID,IDAHO,SNTL,SNOTEL,5810,46.48111,-115.63361,Clearwater,35,10/1/1982,1/1/2100,-115.65381,46.47244,0.021982013,46.47244_-115.65381
Hidden Lake,988,ID,IDAHO,SNTL,SNOTEL,5040,48.8937,-116.75748,Boundary,21,9/20/2000,1/1/2100,-116.77284,48.91873,0.029367167,48.91873_-116.77284
Hogg Pass,526,OR,OREGON,SNTL,SNOTEL,4790,44.42042,-121.85655,Linn,43,10/1/1978,1/1/2100,-121.84135,44.39841,0.02674846,44.39841_-121.84135
Howell Canyon,534,ID,IDAHO,SNTL,SNOTEL,7980,42.32029,-113.61587,Cassia,31,10/1/1978,1/1/2100,-113.61324,42.32438,0.004862612,42.32438_-113.61324
Hozomeen Camp,991,WA,WASHINGTON,SNTL,SNOTEL,1690,48.98075,-121.07976,Whatcom,73,10/1/2000,1/1/2100,-121.05145,48.97191,0.02965808,48.97191_-121.05145
Huckleberry Creek,928,WA,WASHINGTON,SNTL,SNOTEL,2250,47.06565,-121.58778,Pierce,53,10/1/1997,1/1/2100,-121.57805,47.05742,0.012743853,47.05742_-121.57805
Island Park,546,ID,IDAHO,SNTL,SNOTEL,6290,44.4203,-111.38512,Fremont,43,10/1/1979,1/1/2100,-111.3752,44.39841,0.024032863,44.39841_-111.3752
Jackson Peak,550,ID,IDAHO,SNTL,SNOTEL,7070,44.05092,-115.44322,Boise,15,10/1/1979,1/1/2100,-115.45634,44.02615,0.028030114,44.02615_-115.45634
Jump Off Joe,552,OR,OREGON,SNTL,SNOTEL,3520,44.38605,-122.16683,Linn,43,10/1/1978,1/1/2100,-122.17047,44.39841,0.012884844,44.39841_-122.17047
Lake Creek R.S.,563,OR,OREGON,SNTL,SNOTEL,5240,44.21007,-118.63752,Grant,23,10/1/1978,1/1/2100,-118.61593,44.18569,0.032565511,44.18569_-118.61593
Lolo Pass,588,ID,IDAHO,SNTL,SNOTEL,5240,46.63448,-114.58072,Idaho,49,10/1/1982,1/1/2100,-114.60062,46.63198,0.02005642,46.63198_-114.60062
Long Valley,1016,ID,IDAHO,SNTL,SNOTEL,4890,44.78835,-116.08878,Valley,85,10/1/2001,1/1/2100,-116.11459,44.77067,0.031284797,44.77067_-116.11459
Lookout,594,ID,IDAHO,SNTL,SNOTEL,5190,47.45749,-115.70457,Shoshone,79,10/1/1978,1/1/2100,-115.71964,47.48286,0.029508334,47.48286_-115.71964
Lost Horse,599,WA,WASHINGTON,SNTL,SNOTEL,5120,46.3575,-121.08095,Yakima,77,10/1/1989,1/1/2100,-121.05145,46.36608,0.030722409,46.36608_-121.05145
Madison Butte,608,OR,OREGON,SNTL,SNOTEL,5150,45.10513,-119.49585,Morrow,49,10/1/1979,1/1/2100,-119.47166,45.08975,0.028665319,45.08975_-119.47166
Magic Mountain,610,ID,IDAHO,SNTL,SNOTEL,6880,42.18072,-114.28662,Twin Falls,83,10/1/1979,1/1/2100,-114.27149,42.16484,0.021933794,42.16484_-114.27149
Mica Creek,623,ID,IDAHO,SNTL,SNOTEL,4510,47.15045,-116.26643,Shoshone,79,10/1/1989,1/1/2100,-116.24624,47.16378,0.024193491,47.16378_-116.24624
Mores Creek Summit,637,ID,IDAHO,SNTL,SNOTEL,6100,43.932,-115.66588,Boise,15,9/30/1978,1/1/2100,-115.65381,43.91979,0.017168838,43.91979_-115.65381
Moscow Mountain,989,ID,IDAHO,SNTL,SNOTEL,4700,46.805,-116.8535,Latah,57,10/1/2000,1/1/2100,-116.83866,46.79152,0.020048342,46.79152_-116.83866
Moss Springs,647,OR,OREGON,SNTL,SNOTEL,5760,45.27173,-117.68747,Union,61,10/1/1979,1/1/2100,-117.69438,45.24929,0.023479815,45.24929_-117.69438
